candidate_id,candidate_name,lead_1_url,lead_2_url,lead_3_url,curation_status
079,金色三麥－微風南山店,https://www.lebledor.com/location/umami,https://xnfood.com.tw/le-ble-dor-umami/,,provisional_brand_owned_domain_requires_direct_confirmation
080,稻舍食館－統一時代店,https://www.rice1923.com/blogs/%E9%96%80%E5%B8%82/192871,https://www.rice1923.com/uni-president,https://www.rice1923.com/,provisional_brand_owned_domain_requires_direct_confirmation
081,點點心,https://www.dimdimsum.tw/pages/store-info,,,provisional_brand_owned_domain_requires_direct_confirmation
084,非常泰概念餐坊－Neo19店,https://www.verythai.com.tw/,https://www.verythai.com.tw/tw/store,https://xnfood.com.tw/verythai/,provisional_brand_owned_domain_requires_direct_confirmation
086,燒肉中山 Zonzen,https://www.zonzen.com.tw/,,,provisional_brand_owned_domain_requires_direct_confirmation
088,瓦城泰國料理－松山車站店,https://www.thaitown.com.tw/,https://www.thaitown.com.tw/tw/store,https://www.thaitown.com.tw/en/menu,provisional_brand_owned_domain_requires_direct_confirmation
090,One Rule,https://www.onerule.com.tw/,https://www.onerule.com.tw/en/menu/,https://www.onerule.com.tw/outdoor-menu/,provisional_brand_owned_domain_requires_direct_confirmation
092,輪輪1976 和食茶酒驛,https://www.dcl1976.com/lunlun1976,,,provisional_brand_owned_domain_requires_direct_confirmation
093,Khana Khazana Indian Kitchen,https://www.khanakhazana.com.tw/,http://www.khanakhazana.com.tw/about/,,provisional_brand_owned_domain_requires_direct_confirmation
096,大心新泰式麵食－台北信義威秀店,https://bheartnoodles.com/,https://bheartnoodles.com/tw/store,,provisional_brand_owned_domain_requires_direct_confirmation
100,百家班活蝦店－基隆路店,https://www.heyahh.com.tw/collections/prawn-keelungroad,https://www.heyahh.com.tw/pages/baijiaban-zeelungroad-menu,https://www.heyahh.com.tw/pages/baijiaban-keelungroad-shop,provisional_brand_owned_domain_requires_direct_confirmation
105,瓦城泰國料理－新光三越信義店,https://www.thaitown.com.tw/tw/booking,https://www.thaitown.com.tw/tw/store,,provisional_brand_owned_domain_requires_direct_confirmation
106,黑毛屋信義店,https://www.honke.kurogeya.com.tw/zh/branch,,,provisional_brand_owned_domain_requires_direct_confirmation
110,饗泰多－松高店,https://www.siammore.com.tw/zh-TW/store/STB005,https://www.siammore.com.tw/shop.php,,provisional_brand_owned_domain_requires_direct_confirmation
111,SUBWAY Taipei 101,https://subway.com.tw/,https://subway.com.tw/GoWeb2/include/index.php?Page=2,,provisional_brand_owned_domain_requires_direct_confirmation
115,YABI Kitchen－微風南山店,https://xnfood.com.tw/yabi-kitchen/,,,provisional_brand_owned_domain_requires_direct_confirmation
118,大戶屋－統一時代台北店,https://xnfood.com.tw/ootoya/,,,provisional_brand_owned_domain_requires_direct_confirmation
126,Sea to Sky,https://seatosky.com.tw/,,,provisional_brand_owned_domain_requires_direct_confirmation
129,犇－微風信義館,https://www.bencuisine.com/,,,provisional_brand_owned_domain_requires_direct_confirmation
133,MiraWan,https://www.mirawan.com.tw/,https://www.mirawan.com.tw/about/,https://www.mirawan.com.tw/maincourse/,provisional_brand_owned_domain_requires_direct_confirmation
138,柏克金啤酒餐廳,https://buckskinrestaurantgroup.com.tw/home.php,https://www.buckskinrestaurantgroup.com.tw/location.php,,provisional_brand_owned_domain_requires_direct_confirmation
139,老井極上燒肉－台北信義店,https://www.lao-jing.com/,,,provisional_brand_owned_domain_requires_direct_confirmation
140,TAMED FOX－信義店,https://tamedfox.com/,,,provisional_brand_owned_domain_requires_direct_confirmation
