url,domain,site_type,geo_score,site_readiness_score,perplexity_score,mention_rate,official_citation_rate,entity_grounded,evidence_confidence,concise_comment_zh,gemini_entity_name,gemini_industry,gemini_business_scope,gemini_profile_status,measurement_status,measured_at,pipeline_version,profile_version,evidence_hash
https://www.sushiro.com.tw/,sushiro.com.tw,restaurant,65,63,41,0,50,true,medium,GEO 65 分；非品牌搜尋提及率 0%、官網引用率 50%；已完成實體對齊。,,,,unavailable,success,2026-07-16T09:38:50.126Z,3.0.0-perplexity,1.0.0,cd282f965cef4bf2095d5b85e595a328c33653837047921706431e365ca29b54
https://hunterest.co/,hunterest.co,local_service,41,87,0,0,0,false,medium,GEO 41 分；非品牌搜尋提及率 0%、官網引用率 0%；外部實體證據不足。,,,,unavailable,success,2026-07-16T09:39:29.216Z,3.0.0-perplexity,1.0.0,679f04a08008e5567f438f08bc7db1b4855ddd7dcc854ab1503c5ebf01352548
