公司或商業登記名稱,公司統一編號,業者地址,食品業者登錄字號,登錄項目
燕山湯圓店,00575466,台北市信義區虎林街108巷11號,A-200239810-00001-3,餐飲場所
no.169 吳興街專業炭火碳烤,,台北市信義區吳興街169號,A-200239824-00001-8,餐飲場所
甲蟲秘境親子企業有限公司象山分公司,90367653,台北市信義區信義路五段150巷310號,A-200240611-00001-4,餐飲場所
孫家餐館,14333747,台北市信義區松山路437號1樓,A-202275670-00001-9,餐飲場所
南村麵館,25680433,台北市信義區莊敬路423巷8弄14號1樓,A-202275826-00001-2,餐飲場所
小跑豬來了股份有限公司,94185775,台北市信義區忠孝東路4段515號1樓D區櫃號1010,A-202275866-00001-6,餐飲場所
津研企業社,93140174,台北市信義區松山路531號1樓,A-202275991-00001-5,餐飲場所
BURNT漢堡專賣,,台北市信義區基隆路一段147巷54號,A-202276034-00001-4,餐飲場所
涼三伯食堂,00540805,台北市信義區忠孝東路五段423巷61號,A-202276075-00001-9,餐飲場所
浦豐商行,93130247,台北市信義區和平東路3段329號1樓,A-202276572-00001-1,餐飲場所
PPD Pasta,,台北市信義區基隆路131之24號3樓,A-202276578-00001-7,餐飲場所
伍柒玖牛肉麵店,17081293,台北市信義區吳興街245號1樓,A-202276711-00001-6,餐飲場所
小陳牛肉麵,21713193,台北市信義區廣居里虎林街１３５號１樓,A-202276839-00001-7,餐飲場所
二九八商行,38554162,台北市信義區福德街298號,A-202276866-00001-7,餐飲場所
張記舒芙蕾蛋堡,,台北市信義區信義區永吉路443巷48號,A-202276996-00001-1,餐飲場所
圓通紅豆湯,,台北市信義區信義區永吉路443巷48號,A-202276999-00001-4,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區基隆路二段22號,A-123928945-00097-6,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區市府路45號B1,A-123928945-00155-1,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區吳興街243號,A-123928945-00174-2,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區莊敬路469號1、2樓,A-123928945-00200-2,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區松山路11號,A-123928945-00224-8,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區永吉路292&294號,A-123928945-01037-1,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區東興路37號,A-123928945-01049-4,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區忠孝東路五段155號一、二樓,A-123928945-01161-9,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區東興路37號,A-123928945-01181-1,餐飲場所
安心食品服務股份有限公司,23928945,台北市信義區忠孝東路四段515號(D棟地下2層 B2210),A-123928945-01249-6,餐飲場所
