root_url,root_domain,mapped_candidate_count,candidate_ids,candidate_names,shared_domain_group,measurement_scope_status,measurement_eligibility,evidence_urls
https://www.shinyeh.com.tw/,shinyeh.com.tw,2,026|041,欣葉台菜－信義A9店|欣葉日本料理信義店,TRUE,shared_parent_or_group_root_needs_author_scope_decision,pending_final_store_sample_and_human_review,https://www.shinyeh.com.tw/content/zh/brand/Index.aspx?BrandId=1|https://www.shinyeh.com.tw/content/zh/brand/Index.aspx?BrandId=4
https://www.siammore.com.tw/,siammore.com.tw,1,110,饗泰多－松高店,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://www.siammore.com.tw/zh-TW/store/STB005
https://www.starfishconcept.com/,starfishconcept.com,1,22,CÉ LA VI Taipei,TRUE,shared_parent_or_group_root_needs_author_scope_decision,pending_final_store_sample_and_human_review,https://www.starfishconcept.com/portfolio/ce-la-vi-taipei/
https://subway.com.tw/,subway.com.tw,1,111,SUBWAY Taipei 101,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://subway.com.tw/
https://texasroadhouse.com.tw/,texasroadhouse.com.tw,1,13,Texas Roadhouse,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://texasroadhouse.com.tw/
https://tgifridays.com.tw/,tgifridays.com.tw,1,40,TGI Friday's,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://tgifridays.com.tw/
https://www.thaitown.com.tw/,thaitown.com.tw,3,044|088|105,瓦城泰國料理－台北阪急店|瓦城泰國料理－松山車站店|瓦城泰國料理－新光三越信義店,TRUE,shared_brand_root_measure_once,pending_final_store_sample_and_human_review,https://www.thaitown.com.tw/tw/booking|https://www.thaitown.com.tw/
https://twgtea.com/,twgtea.com,1,70,TWG Tea at Taipei 101,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://twgtea.com/en/locations/taiwan/twg-tea-at-taipei-101
https://www.ukai.co.jp/,ukai.co.jp,1,64,The Ukai Taipei,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://www.ukai.co.jp/ct/taipei/
https://www.verythai.com.tw/,verythai.com.tw,1,84,非常泰概念餐坊－Neo19店,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://www.verythai.com.tw/
https://www.wildwood.com.tw/,wildwood.com.tw,1,57,原木燒烤餐廳 Wildwood,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://www.wildwood.com.tw/index_ch.php
https://woolloomooloo.tw/,woolloomooloo.tw,1,30,Woolloomooloo,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://woolloomooloo.tw/
https://www.zonzen.com.tw/,zonzen.com.tw,1,86,燒肉中山 Zonzen,FALSE,single_brand_root_candidate,pending_final_store_sample_and_human_review,https://www.zonzen.com.tw/
